Cert No.,Type,Km,Date,Region,Route,Time,Moving
RUSA-T79061,RUSAT,101,2/10/2018,,NJ: Millstone River Ramble 100K,5:21,
RUSA-T68893,RUSAT,121,1/16/2017,,PA: Breakfasts in the Burbs,7:08,
568306,ACPB,200,3/25/2017,PA: Eastern,Lackawanna 200K,10:28,8:59
196275,ACPB,300,4/22/2017,PA: Eastern,Water Gap 300 (C),15:44,
128607,ACPB,400,5/20/2017,PA: Eastern,Blue Mountain 400 (CW),23:49,
97619,ACPB,600,6/10/2017,PA: Eastern,route 644 (unnamed),38:48:00,
582104,ACPB,200,8/12/2017,PA: Eastern,Yet Another River to River Ride,10:25,8:47
582653,ACPB,200,9/9/2017,PA: Eastern,A Victory to Remember,10:51,9:14
RUSA-B12662,RUSAB,200,10/21/2017,PA: Eastern,route 601 (unnamed),10:40,9:09
516580,ACPB,200,3/19/2016,PA: Eastern,Lackawanna 200K,11:43,9:33
US-2016-1152,ACPF,360,4/8/2016,PA: Eastern,?,24:00:00,
185032,ACPB,300,5/7/2016,NJ: NYC and Princeton,route 15 (unnamed),16:54,
121324,ACPB,400,5/14/2016,PA: Eastern,Blue Mountain 400,25:25:00,
91274,ACPB,600,6/4/2016,PA: Eastern,route 644 (unnamed),39:11:00,
534991,ACPB,200,9/10/2016,PA: Eastern,A Victory to Remember,10:35,8:52
RUSA-B11839,RUSAB,200,10/22/2016,PA: Eastern,PA Classic 200,13:21,10:39
RUSA-T48933,RUSAT,204,1/11/2015,,NJ: Beyond Hope to New Hope,12:30,
444216,ACPB,200,2/7/2015,PA: Eastern,Beyond Hope to New Hope,12:25,10:25
458470,ACPB,200,4/4/2015,NJ: NYC and Princeton,route 506 (unnamed),12:05,10:07
US-2015-14753,ACPF,363,4/10/2015,PA: Eastern,?,24:00:00,
473654,ACPB,200,6/13/2015,PA: Eastern,Lackawanna 200K,9:26,8:29
RUSA-T53486,RUSAT,104,7/5/2015,,WA: Seattle Lakes and Trails,6:01,
RUSA-B10815,RUSAB,200,10/17/2015,PA: Eastern,PA Classic 200,10:57,9:27
RUSA-P10813,RUSAP,100,11/15/2015,PA: Eastern,Milford 100k,5:37,
RUSA-B11358,RUSAB,200,12/5/2015,PA: Eastern,Brandywine 200K,10:50,9:17
RUSA-T58111,RUSAT,102,12/13/2015,,NJ: Knapp's Cranbury 100k,4:50,
416557,ACPB,200,3/22/2014,PA: Eastern,Silver Spring 200k,11:08,9:06
416404,ACPB,200,4/12/2014,PA: Eastern,route 601 (unnamed),10:30,9:19
151627,ACPB,300,5/3/2014,PA: Eastern,Water Gap 300 (C),16:42,
427334,ACPB,200,6/28/2014,PA: Eastern,New Holland 200k,9:09,8:06
427530,ACPB,200,7/19/2014,NJ: NYC and Princeton,route 506 (unnamed),11:56,8:37
427563,ACPB,200,7/26/2014,PA: Eastern,Hawks Nest 200,9:20,8:33
430401,ACPB,200,8/16/2014,PA: Eastern,Hawks Nest 200,10:30,9:01
RUSA-B09815,RUSAB,200,9/7/2014,PA: Eastern,Brandywine 200K,10:39,9:24
RUSA-B09919,RUSAB,200,10/18/2014,PA: Eastern,PA Classic 200,11:20,10:03
RUSA-B10007,RUSAB,200,11/1/2014,PA: Eastern,Stillwater 200,12:20,10:02
RUSA-B10365,RUSAB,200,12/6/2014,PA: Eastern,Stillwater 200,11:55,10:33
